# Almanca Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı sırada).
# Yazılış normalizasyonu (Latin harf kümesine uydurmak için): ß -> ss.
# ä bu listede geçmez; ö, ü korunur. Eylemler mastar (citation) biçimindedir.
ben ich
sen du
biz wir
bu dies
şu das
kim wer
ne was
değil nicht
hep alle
çok viele
bir eins
iki zwei
büyük gross
uzun lang
küçük klein
kadın frau
adam mann
insan mensch
balık fisch
kuş vogel
köpek hund
bit laus
ağaç baum
tohum samen
yaprak blatt
kök wurzel
kabuk rinde
deri haut
et fleisch
kan blut
kemik knochen
yağ fett
yumurta ei
boynuz horn
kuyruk schwanz
tüy feder
saç haar
baş kopf
kulak ohr
göz auge
burun nase
ağız mund
diş zahn
dil zunge
tırnak nagel
ayak fuss
diz knie
el hand
karın bauch
boyun hals
göğüs brust
yürek herz
karaciğer leber
içmek trinken
yemek essen
ısırmak beissen
görmek sehen
duymak hören
bilmek wissen
uyumak schlafen
ölmek sterben
öldürmek töten
yüzmek schwimmen
uçmak fliegen
yürümek gehen
gelmek kommen
yatmak liegen
oturmak sitzen
durmak stehen
vermek geben
demek sagen
güneş sonne
ay mond
yıldız stern
su wasser
yağmur regen
taş stein
kum sand
toprak erde
bulut wolke
duman rauch
ateş feuer
kül asche
yanmak brennen
yol weg
dağ berg
kırmızı rot
yeşil grün
sarı gelb
beyaz weiss
kara schwarz
gece nacht
sıcak heiss
soğuk kalt
dolu voll
yeni neu
iyi gut
yuvarlak rund
kuru trocken
ad name
