# Arnavutça Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: ë -> ə, ünlü y -> ü (y harfi kümede ünsüz
# olduğu için). İkili harfler (dh, gj, ll, nj, rr, sh, th, xh, zh) korunur;
# bunlar yazıda gerçekten iki harftir. ç korunur. Eylemler 1. tekil şahıs.
ben unə
sen ti
biz ne
bu kü
şu ai
kim kush
ne çfarə
değil nuk
hep gjithə
çok shumə
bir njə
iki dü
büyük madh
uzun gjatə
küçük vogəl
kadın grua
adam burrə
insan njeri
balık peshk
kuş zog
köpek qen
bit morr
ağaç pemə
tohum farə
yaprak gjethe
kök rrənjə
kabuk ləvore
deri ləkurə
et mish
kan gjak
kemik asht
yağ dhjamə
yumurta vezə
boynuz bri
kuyruk bisht
tüy pendə
saç flokə
baş kokə
kulak vesh
göz sü
burun hundə
ağız gojə
diş dhəmb
dil gjuhə
tırnak thua
ayak kəmbə
diz gju
el dorə
karın bark
boyun qafə
göğüs gjoks
yürek zemər
karaciğer məlçi
içmek pi
yemek ha
ısırmak kafshoj
görmek shoh
duymak dəgjoj
bilmek di
uyumak fle
ölmek vdes
öldürmek vras
yüzmek notoj
uçmak fluturoj
yürümek eci
gelmek vij
yatmak shtrihem
oturmak ulem
durmak qəndroj
vermek jap
demek them
güneş diell
ay hənə
yıldız üll
su ujə
yağmur shi
taş gur
kum rərə
toprak dhe
bulut re
duman tüm
ateş zjarr
kül hi
yanmak djeg
yol rrugə
dağ mal
kırmızı kuq
yeşil gjelbər
sarı verdhə
beyaz bardhə
kara zi
gece natə
sıcak nxehtə
soğuk ftohtə
dolu plot
yeni ri
iyi mirə
yuvarlak rrethor
kuru thatə
ad emər
