# Boşnakça Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Sırp-Hırvat lehçe sürekliliğinin bir standardı; Hırvatçaya çok
# yakındır (akrabalık ölçüsünün lehçe düzeyinde sınanması). Normalizasyon:
# c -> ţ, č/ć -> ç, đ -> c, š -> ş, ž -> j, kayıcı j -> y. İlk taslak.
ben ya
sen ti
biz mi
bu ovay
şu tay
kim ko
ne şta
değil ne
hep sve
çok mnogo
bir yedan
iki dva
büyük velik
uzun dug
küçük mali
kadın jena
adam çovyek
insan çovyek
balık riba
kuş ptiţa
köpek pas
bit uş
ağaç drvo
tohum syeme
yaprak list
kök koriyen
kabuk kora
deri koja
et meso
kan krv
kemik kost
yağ mast
yumurta yaye
boynuz rog
kuyruk rep
tüy pero
saç kosa
baş glava
kulak uho
göz oko
burun nos
ağız usta
diş zub
dil yezik
tırnak nokat
ayak noga
diz kolyeno
el ruka
karın stomak
boyun vrat
göğüs grudi
yürek srţe
karaciğer yetra
içmek piti
yemek yesti
ısırmak ugristi
görmek vidyeti
duymak çuti
bilmek znati
uyumak spavati
ölmek umriyeti
öldürmek ubiti
yüzmek plivati
uçmak letyeti
yürümek hodati
gelmek doçi
yatmak lejati
oturmak syediti
durmak stayati
vermek dati
demek reçi
güneş sunţe
ay myeseţ
yıldız zviyezda
su voda
yağmur kişa
taş kamen
kum piyesak
toprak zemlya
bulut oblak
duman dim
ateş vatra
kül pepeo
yanmak goryeti
yol put
dağ planina
kırmızı ţrven
yeşil zelen
sarı jut
beyaz biyel
kara ţrn
gece noç
sıcak vruç
soğuk hladan
dolu pun
yeni nov
iyi dobar
yuvarlak okrugao
kuru suh
ad ime
