# Estonca Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: ä -> ə, õ -> ı (kapalı arka düz), kayıcı
# j -> y, š -> ş, ž -> j; ö, ü korunur. Eylemler mastar (-ma). İlk taslak.
ben mina
sen sina
biz meie
bu see
şu too
kim kes
ne mis
değil ei
hep kıik
çok palyu
bir üks
iki kaks
büyük suur
uzun pikk
küçük vəike
kadın naine
adam mees
insan inimene
balık kala
kuş lind
köpek koer
bit təi
ağaç puu
tohum seeme
yaprak leht
kök yuur
kabuk koor
deri nahk
et liha
kan veri
kemik luu
yağ rasv
yumurta muna
boynuz sarv
kuyruk saba
tüy sulg
saç yuuksed
baş pea
kulak kırv
göz silm
burun nina
ağız suu
diş hammas
dil keel
tırnak küüs
ayak yalg
diz pılv
el kəsi
karın kıht
boyun kael
göğüs rind
yürek süda
karaciğer maks
içmek yooma
yemek sööma
ısırmak hammustama
görmek nəgema
duymak kuulma
bilmek teadma
uyumak magama
ölmek surema
öldürmek tapma
yüzmek uyuma
uçmak lendama
yürümek kındima
gelmek tulema
yatmak lamama
oturmak istuma
durmak seisma
vermek andma
demek ütlema
güneş pəike
ay kuu
yıldız təht
su vesi
yağmur vihm
taş kivi
kum liiv
toprak maa
bulut pilv
duman suits
ateş tuli
kül tuhk
yanmak pılema
yol tee
dağ məgi
kırmızı punane
yeşil roheline
sarı kollane
beyaz valge
kara must
gece öö
sıcak kuum
soğuk külm
dolu təis
yeni uus
iyi hea
yuvarlak ümmargune
kuru kuiv
ad nimi
