# Fince Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: ä -> ə, ünlü y -> ü ([y]), kayıcı j -> y,
# å -> o; ö korunur. Eylemler mastar (-a/-da). İlk taslak.
ben minə
sen sinə
biz me
bu təmə
şu tuo
kim kuka
ne mikə
değil ei
hep kaikki
çok moni
bir üksi
iki kaksi
büyük iso
uzun pitkə
küçük pieni
kadın nainen
adam mies
insan ihminen
balık kala
kuş lintu
köpek koira
bit təi
ağaç puu
tohum siemen
yaprak lehti
kök yuuri
kabuk kuori
deri iho
et liha
kan veri
kemik luu
yağ rasva
yumurta muna
boynuz sarvi
kuyruk həntə
tüy sulka
saç hiukset
baş pəə
kulak korva
göz silmə
burun nenə
ağız suu
diş hammas
dil kieli
tırnak künsi
ayak yalka
diz polvi
el kəsi
karın vatsa
boyun kaula
göğüs rinta
yürek sydən
karaciğer maksa
içmek yuoda
yemek süödə
ısırmak purra
görmek nəhdə
duymak kuulla
bilmek tietəə
uyumak nukkua
ölmek kuolla
öldürmek tappaa
yüzmek uida
uçmak lentəə
yürümek kəvellə
gelmek tulla
yatmak maata
oturmak istua
durmak seisoa
vermek antaa
demek sanoa
güneş aurinko
ay kuu
yıldız təhti
su vesi
yağmur sade
taş kivi
kum hiekka
toprak maa
bulut pilvi
duman savu
ateş tuli
kül tuhka
yanmak palaa
yol tie
dağ vuori
kırmızı punainen
yeşil vihreə
sarı keltainen
beyaz valkoinen
kara musta
gece üö
sıcak kuuma
soğuk külmə
dolu təüsi
yeni uusi
iyi hüvə
yuvarlak püöreə
kuru kuiva
ad nimi
