# Kazakça Swadesh-100 (Yeni Latin yazısı esaslı; anlam etiketleri Türkçe
# dosyayla aynı sırada). Kıpçak Türkçesi. Yazılış normalizasyonu: ä -> ə,
# ū -> u; ñ ([ŋ]) korunur (artık yazılı harf); ş, ğ, q, x, ö, ü, ı doğrudan.
# Eylemler kök biçiminde. İlk taslak.
ben men
sen sen
biz biz
bu bul
şu ol
kim kim
ne ne
değil emes
hep bəri
çok köp
bir bir
iki eki
büyük ülken
uzun uzın
küçük kişkene
kadın əyel
adam erkek
insan adam
balık balıq
kuş qus
köpek it
bit bit
ağaç ağaş
tohum tuqım
yaprak yapıraq
kök tamır
kabuk qabıq
deri teri
et et
kan qan
kemik süyek
yağ may
yumurta jumırtqa
boynuz müyiz
kuyruk quyrıq
tüy jün
saç şaş
baş bas
kulak qulaq
göz köz
burun murın
ağız auız
diş tis
dil til
tırnak tırnaq
ayak ayaq
diz tize
el qol
karın qarın
boyun moyın
göğüs tös
yürek jürek
karaciğer bauır
içmek iş
yemek ye
ısırmak tisle
görmek kör
duymak esti
bilmek bil
uyumak uyıqta
ölmek öl
öldürmek öltir
yüzmek jüz
uçmak uş
yürümek jür
gelmek kel
yatmak jat
oturmak otır
durmak tur
vermek ber
demek de
güneş kün
ay ay
yıldız juldız
su su
yağmur jañbır
taş tas
kum qum
toprak topıraq
bulut bult
duman tütin
ateş ot
kül kül
yanmak jan
yol jol
dağ tau
kırmızı qızıl
yeşil jasıl
sarı sarı
beyaz aq
kara qara
gece tün
sıcak ıstıq
soğuk suıq
dolu tolı
yeni jaña
iyi jaqsı
yuvarlak domalaq
kuru qurğaq
ad at
