# Lehçe (Polonca) Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla
# aynı sırada). Yazılış normalizasyonu: ł->w, ą->o, ę->e, ó->u, ć/cz->ç,
# ś/sz->ş, ź/ż/rz->j, ń->n, ch->x, c->ţ ([ts]), w->v, kayıcı j->y, y->i.
# Eylemler mastar. İlk taslak.
ben ya
sen ti
biz mi
bu ten
şu tamten
kim kto
ne ţo
değil nie
hep vşistko
çok dujo
bir yeden
iki dva
büyük duji
uzun dwugi
küçük mawi
kadın kobieta
adam mejçizna
insan çwoviek
balık riba
kuş ptak
köpek pies
bit veş
ağaç djevo
tohum ziarno
yaprak lişç
kök korjen
kabuk kora
deri skura
et mieso
kan krev
kemik koşç
yağ twuşç
yumurta yayko
boynuz rug
kuyruk ogon
tüy piuro
saç vwosi
baş gwova
kulak uxo
göz oko
burun nos
ağız usta
diş zob
dil yezik
tırnak pazur
ayak stopa
diz kolano
el reka
karın bjux
boyun şiya
göğüs pierş
yürek serţe
karaciğer votroba
içmek piç
yemek yeşç
ısırmak grijç
görmek vidzieç
duymak swişeç
bilmek viedzieç
uyumak spaç
ölmek umjeç
öldürmek zabiç
yüzmek pwivaç
uçmak lataç
yürümek xodziç
gelmek pjiyşç
yatmak lejeç
oturmak siedzieç
durmak staç
vermek daç
demek muviç
güneş swonţe
ay ksiejiţ
yıldız gviazda
su voda
yağmur deşç
taş kamien
kum piasek
toprak ziemia
bulut xmura
duman dim
ateş ogien
kül popiuw
yanmak paliç
yol droga
dağ gura
kırmızı çervoni
yeşil zieloni
sarı juwti
beyaz biawi
kara çarni
gece noţ
sıcak goronţi
soğuk zimni
dolu pewni
yeni novi
iyi dobri
yuvarlak okrogwi
kuru suxi
ad imie
