# Litvanca Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: ą->a, ę/ė->e, į->i, ų/ū->u, y->i; č->ç,
# š->ş, ž->j; c->ţ ([ts]), kayıcı j->y. Eylemler mastar. İlk taslak.
ben aş
sen tu
biz mes
bu şis
şu tas
kim kas
ne kas
değil ne
hep visas
çok daug
bir vienas
iki du
büyük didelis
uzun ilgas
küçük majas
kadın moteris
adam viras
insan jmogus
balık juvis
kuş paukştis
köpek şuo
bit utele
ağaç medis
tohum sekla
yaprak lapas
kök şaknis
kabuk jieve
deri oda
et mesa
kan krauyas
kemik kaulas
yağ taukai
yumurta kiauşinis
boynuz ragas
kuyruk uodega
tüy plunksna
saç plaukai
baş galva
kulak ausis
göz akis
burun nosis
ağız burna
diş dantis
dil liejuvis
tırnak nagas
ayak koya
diz kelis
el ranka
karın pilvas
boyun kaklas
göğüs krutine
yürek şirdis
karaciğer kepenis
içmek gerti
yemek valgiti
ısırmak kasti
görmek matiti
duymak girdeti
bilmek jinoti
uyumak miegoti
ölmek mirti
öldürmek juditi
yüzmek plaukti
uçmak skristi
yürümek eiti
gelmek ateiti
yatmak guleti
oturmak sedeti
durmak stoveti
vermek duoti
demek sakiti
güneş saule
ay menulis
yıldız jvaigjde
su vanduo
yağmur lietus
taş akmuo
kum smelis
toprak jeme
bulut debesis
duman dumai
ateş ugnis
kül pelenai
yanmak degti
yol kelias
dağ kalnas
kırmızı raudonas
yeşil jalias
sarı geltonas
beyaz baltas
kara yuodas
gece naktis
sıcak karştas
soğuk şaltas
dolu pilnas
yeni nauyas
iyi geras
yuvarlak apvalus
kuru sausas
ad vardas
