# Macarca Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: uzun ünlüler kısaltılır (á->a ... ű->ü,
# ő->ö); ıslıklılar sese göre: s->ş ([ʃ]), sz->s ([s]), zs->j ([ʒ]), cs->ç,
# c->ţ ([ts]); gy->c, ny->n, ty->t, ly/j->y. Eylemler mastar (-ni). İlk taslak.
ben en
sen te
biz mi
bu ez
şu az
kim ki
ne mi
değil nem
hep minden
çok sok
bir ec
iki kettö
büyük nac
uzun hossu
küçük kiçi
kadın nö
adam ferfi
insan ember
balık hal
kuş madar
köpek kuta
bit tetü
ağaç fa
tohum mag
yaprak level
kök cöker
kabuk kereg
deri bör
et huş
kan ver
kemik çont
yağ jir
yumurta toyaş
boynuz sarv
kuyruk farok
tüy toll
saç hay
baş fey
kulak fül
göz sem
burun orr
ağız say
diş fog
dil nelv
tırnak köröm
ayak lab
diz terd
el kez
karın haş
boyun nak
göğüs mell
yürek siv
karaciğer may
içmek inni
yemek enni
ısırmak harapni
görmek latni
duymak hallani
bilmek tudni
uyumak aludni
ölmek meghalni
öldürmek ölni
yüzmek usni
uçmak repülni
yürümek yarni
gelmek yönni
yatmak feküdni
oturmak ülni
durmak allni
vermek adni
demek mondani
güneş nap
ay hold
yıldız çillag
su viz
yağmur eşö
taş kö
kum homok
toprak föld
bulut felhö
duman füşt
ateş tüz
kül hamu
yanmak egni
yol ut
dağ hec
kırmızı piros
yeşil zöld
sarı şarga
beyaz feher
kara fekete
gece eysaka
sıcak meleg
soğuk hideg
dolu tele
yeni uy
iyi yo
yuvarlak kerek
kuru saraz
ad nev
