# Slovakça Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: uzun ünlüler (á é í ó ú ý) kısaltılır,
# ä -> ə, c -> ţ ([ts]), č -> ç, š -> ş, ž -> j, ch -> x, ô -> o, yumuşak
# ď/ť/ľ/ň -> d/t/l/n, kayıcı j -> y. Eylemler mastar. İlk taslak.
ben ya
sen ti
biz mi
bu tento
şu tamten
kim kto
ne ço
değil nie
hep vşetko
çok vela
bir yeden
iki dva
büyük velki
uzun dlhi
küçük mali
kadın jena
adam muj
insan çlovek
balık riba
kuş vtak
köpek pes
bit voş
ağaç strom
tohum semeno
yaprak list
kök koren
kabuk kora
deri koja
et məso
kan krv
kemik kost
yağ tuk
yumurta vayţe
boynuz roh
kuyruk xvost
tüy pero
saç vlasi
baş hlava
kulak uxo
göz oko
burun nos
ağız usta
diş zub
dil yazik
tırnak necht
ayak noha
diz koleno
el ruka
karın bruxo
boyun krk
göğüs hrud
yürek srdţe
karaciğer peçen
içmek pit
yemek yest
ısırmak hrizt
görmek vidiet
duymak poçut
bilmek vediet
uyumak spat
ölmek zomriet
öldürmek zabit
yüzmek plavat
uçmak letiet
yürümek xodit
gelmek prist
yatmak lejat
oturmak sediet
durmak stat
vermek dat
demek povedat
güneş slnko
ay mesiaţ
yıldız hviezda
su voda
yağmur dajd
taş kamen
kum piesok
toprak zem
bulut oblak
duman dim
ateş ohen
kül popol
yanmak horiet
yol ţesta
dağ hora
kırmızı çerveni
yeşil zeleni
sarı jlti
beyaz bieli
kara çierni
gece noţ
sıcak tepli
soğuk studeni
dolu plni
yeni novi
iyi dobri
yuvarlak okruhli
kuru suxi
ad meno
