# Slovence Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: c -> ţ ([ts]), č -> ç, š -> ş, ž -> j,
# kayıcı j -> y. Eylemler mastar biçimindedir. İlk taslak.
ben yaz
sen ti
biz mi
bu ta
şu tisti
kim kdo
ne kay
değil ne
hep vse
çok veliko
bir ena
iki dve
büyük velik
uzun dolg
küçük majhen
kadın jenska
adam moşki
insan çlovek
balık riba
kuş ptiţa
köpek pes
bit uş
ağaç drevo
tohum seme
yaprak list
kök korenina
kabuk lubye
deri koja
et meso
kan kri
kemik kost
yağ maşçoba
yumurta yayţe
boynuz rog
kuyruk rep
tüy pero
saç lasye
baş glava
kulak uho
göz oko
burun nos
ağız usta
diş zob
dil yezik
tırnak noht
ayak noga
diz koleno
el roka
karın trebuh
boyun vrat
göğüs prsi
yürek srţe
karaciğer yetra
içmek piti
yemek yesti
ısırmak gristi
görmek videti
duymak slişati
bilmek vedeti
uyumak spati
ölmek umreti
öldürmek ubiti
yüzmek plavati
uçmak leteti
yürümek hoditi
gelmek priti
yatmak lejati
oturmak sedeti
durmak stati
vermek dati
demek reçi
güneş sonţe
ay luna
yıldız zvezda
su voda
yağmur dej
taş kamen
kum pesek
toprak zemlya
bulut oblak
duman dim
ateş ogeny
kül pepel
yanmak goreti
yol pot
dağ gora
kırmızı rdeç
yeşil zelen
sarı rumen
beyaz bel
kara çrn
gece noç
sıcak vroç
soğuk mrzel
dolu poln
yeni nov
iyi dober
yuvarlak okrogel
kuru suh
ad ime
