# Tacikçe Swadesh-100 (Kiril yazısından Latin'e çevrilmiştir; anlam etiketleri
# Türkçe dosyayla aynı sırada). Çeviri: ғ->ğ, қ->q, ҳ->h, х->x, ҷ->c, ч->ç,
# ш->ş, ӣ/ӯ->i/u, ъ düşürülür. Eylemler mastar (-dan/-tan) biçimindedir.
ben man
sen tu
biz mo
bu in
şu on
kim ki
ne çi
değil ne
hep hama
çok bisyor
bir yak
iki du
büyük kalon
uzun daroz
küçük xurd
kadın zan
adam mard
insan odam
balık mohi
kuş paranda
köpek sag
bit şabuş
ağaç daraxt
tohum dona
yaprak barg
kök reşa
kabuk pustloq
deri pust
et guşt
kan xun
kemik ustuxon
yağ çarbu
yumurta tuxm
boynuz şox
kuyruk dum
tüy par
saç muy
baş sar
kulak guş
göz çaşm
burun bini
ağız dahon
diş dandon
dil zabon
tırnak noxun
ayak poy
diz zonu
el dast
karın şikam
boyun gardan
göğüs sina
yürek dil
karaciğer cigar
içmek nuşidan
yemek xurdan
ısırmak gazidan
görmek didan
duymak şunidan
bilmek donistan
uyumak xobidan
ölmek murdan
öldürmek kuştan
yüzmek şino
uçmak paridan
yürümek raftan
gelmek omadan
yatmak xuftan
oturmak nişastan
durmak istodan
vermek dodan
demek guftan
güneş oftob
ay moh
yıldız sitora
su ob
yağmur boron
taş sang
kum reg
toprak xok
bulut abr
duman dud
ateş otaş
kül xokistar
yanmak suxtan
yol roh
dağ kuh
kırmızı surx
yeşil sabz
sarı zard
beyaz safed
kara siyoh
gece şab
sıcak garm
soğuk xunuk
dolu pur
yeni nav
iyi xub
yuvarlak gird
kuru xuşk
ad nom
