# Türkmence Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: ä -> ə, ž -> j, ň -> n, ünlü y -> ı (Türkmen y
# = [ɯ]), ý -> y (Türkmen ý = [j]). ç, ş, ö, ü korunur. Eylemler kök biçiminde.
ben men
sen sen
biz biz
bu bu
şu şol
kim kim
ne nəme
değil dəl
hep hemme
çok köp
bir bir
iki iki
büyük uly
uzun uzın
küçük kiçi
kadın ayal
adam erkek
insan adam
balık balık
kuş guş
köpek it
bit bit
ağaç agaç
tohum tohum
yaprak yaprak
kök kök
kabuk gabık
deri deri
et et
kan gan
kemik sünk
yağ yag
yumurta yumurtga
boynuz şah
kuyruk guyruk
tüy yelek
saç saç
baş baş
kulak gulak
göz göz
burun burun
ağız agız
diş diş
dil dil
tırnak dırnak
ayak ayak
diz dız
el el
karın garın
boyun boyun
göğüs döş
yürek yürek
karaciğer bagır
içmek iç
yemek iy
ısırmak dişle
görmek gör
duymak eşit
bilmek bil
uyumak ukla
ölmek öl
öldürmek öldür
yüzmek yüz
uçmak uç
yürümek yöre
gelmek gel
yatmak yat
oturmak otur
durmak dur
vermek ber
demek diy
güneş gün
ay ay
yıldız yıldız
su suw
yağmur yagış
taş daş
kum gum
toprak toprak
bulut bulut
duman tüsse
ateş ot
kül kül
yanmak yan
yol yol
dağ dag
kırmızı gızıl
yeşil yaşıl
sarı sarı
beyaz ak
kara gara
gece gije
sıcak ıssı
soğuk sowuk
dolu dolı
yeni təze
iyi gowı
yuvarlak tegelek
kuru gurı
ad at
