# Çekçe Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: uzun ünlüler kısaltılır (á->a ... ů->u,
# ý->i), ě->e; č->ç, š->ş, ž->j, ř->r, ň->n, ď->d, ť->t; ch->x, c->ţ ([ts]),
# kayıcı j->y. Eylemler mastar. İlk taslak.
ben ya
sen ti
biz mi
bu tento
şu tamten
kim kdo
ne ţo
değil ne
hep vşexno
çok mnoho
bir yeden
iki dva
büyük velki
uzun dlouhi
küçük mali
kadın jena
adam muj
insan çlovek
balık riba
kuş ptak
köpek pes
bit veş
ağaç strom
tohum semeno
yaprak list
kök koren
kabuk kura
deri kuje
et maso
kan krev
kemik kost
yağ tuk
yumurta veyţe
boynuz roh
kuyruk oţas
tüy pero
saç vlasi
baş hlava
kulak uxo
göz oko
burun nos
ağız usta
diş zub
dil yazik
tırnak nehet
ayak noha
diz koleno
el ruka
karın brixo
boyun krk
göğüs prsa
yürek srdţe
karaciğer yatra
içmek pit
yemek yist
ısırmak kousat
görmek videt
duymak slişet
bilmek vedet
uyumak spat
ölmek zemrit
öldürmek zabit
yüzmek plavat
uçmak letat
yürümek xodit
gelmek priyit
yatmak lejet
oturmak sedet
durmak stat
vermek dat
demek riţt
güneş slunţe
ay mesiţ
yıldız hvezda
su voda
yağmur deşt
taş kamen
kum pisek
toprak zeme
bulut mrak
duman dim
ateş ohen
kül popel
yanmak horet
yol ţesta
dağ hora
kırmızı çerveni
yeşil zeleni
sarı jluti
beyaz bili
kara çerni
gece noţ
sıcak tepli
soğuk studeni
dolu plni
yeni novi
iyi dobri
yuvarlak kulati
kuru suxi
ad ymeno
